time	W	Freq	Temp
1615072394.92	6.164	1300000	70.0	
1615072395.12	6.164	1400000	70.0	
1615072395.32	6.164	1300000	70.0	
1615072395.52	6.164	1400000	70.0	
1615072395.72	6.164	1300000	70.0	
1615072395.92	6.187	1400000	70.0	
1615072396.12	6.187	1300000	70.0	
1615072396.32	6.187	1400000	70.0	
1615072396.52	6.187	1300000	70.0	
1615072396.72	6.187	1400000	70.0	
1615072396.92	6.267	1300000	70.0	
1615072397.12	6.267	1400000	70.0	
1615072397.32	6.267	1300000	70.0	
1615072397.52	6.267	1400000	70.0	
1615072397.73	6.199	1300000	70.0	
1615072397.93	6.199	1400000	70.0	
1615072398.13	6.199	1300000	70.0	
1615072398.33	6.199	1200000	69.0	
1615072398.53	6.199	1300000	69.0	
1615072398.73	5.828	1400000	69.0	
1615072398.93	5.828	1300000	69.0	
1615072399.13	5.828	1400000	70.0	
1615072399.33	5.828	1300000	70.0	
1615072399.53	5.828	1400000	70.0	
1615072399.73	5.828	1300000	70.0	
1615072399.93	6.134	1200000	69.0	
1615072400.13	6.134	1300000	69.0	
1615072400.33	6.134	1400000	69.0	
1615072400.53	6.134	1500000	70.0	
1615072400.73	6.134	1400000	71.0	
1615072400.93	6.519	1300000	70.0	
1615072401.13	6.519	1200000	69.0	
1615072401.33	6.519	1300000	69.0	
1615072401.53	6.519	1400000	69.0	
1615072401.73	6.519	1300000	70.0	
1615072401.93	5.825	1400000	70.0	
1615072402.13	5.825	1300000	70.0	
1615072402.33	5.825	1400000	70.0	
1615072402.54	5.825	1300000	70.0	
1615072402.74	6.363	1200000	69.0	
1615072402.94	6.363	1300000	69.0	
1615072403.14	6.363	1400000	69.0	
1615072403.34	6.363	1300000	70.0	
1615072403.54	6.363	1200000	69.0	
1615072403.74	5.928	1300000	69.0	
1615072403.94	5.928	1400000	69.0	
1615072404.14	5.928	1300000	70.0	
1615072404.34	5.928	1400000	70.0	
1615072404.54	5.928	1300000	70.0	
1615072404.74	5.928	1200000	69.0	
1615072404.94	6.145	1300000	69.0	
1615072405.14	6.145	1400000	69.0	
1615072405.34	6.145	1300000	70.0	
1615072405.54	6.145	1400000	70.0	
1615072405.74	6.145	1300000	70.0	
1615072405.94	6.138	1200000	69.0	
1615072406.14	6.138	1300000	69.0	
1615072406.34	6.138	1400000	69.0	
1615072406.54	6.138	1300000	70.0	
1615072406.74	6.332	1400000	70.0	
1615072406.94	6.332	1300000	70.0	
1615072407.15	6.332	1200000	69.0	
1615072407.35	6.332	1300000	69.0	
1615072407.55	6.332	1400000	69.0	
1615072407.75	6.202	1300000	70.0	
1615072407.95	6.202	1200000	69.0	
1615072408.15	6.202	1300000	69.0	
1615072408.35	6.202	1400000	69.0	
1615072408.55	6.202	1300000	70.0	
1615072408.75	6.202	1400000	70.0	
1615072408.95	6.195	1300000	70.0	
1615072409.15	6.195	1200000	69.0	
1615072409.35	6.195	1300000	69.0	
