time	W	Freq	Temp
1615070943.11	6.451	1300000	69.0	
1615070943.31	6.451	1400000	70.0	
1615070943.52	6.451	1300000	70.0	
1615070943.72	6.176	1200000	69.0	
1615070943.92	6.176	1300000	69.0	
1615070944.12	6.176	1400000	70.0	
1615070944.32	6.176	1300000	70.0	
1615070944.52	6.176	1200000	69.0	
1615070944.72	6.176	1300000	69.0	
1615070944.92	5.641	1400000	70.0	
1615070945.12	5.641	1300000	70.0	
1615070945.32	5.641	1200000	69.0	
1615070945.52	5.641	1300000	69.0	
1615070945.72	5.641	1200000	69.0	
1615070945.92	6.042	1300000	69.0	
1615070946.12	6.042	1400000	70.0	
1615070946.32	6.042	1300000	70.0	
1615070946.52	6.042	1200000	69.0	
1615070946.72	6.107	1300000	70.0	
1615070946.92	6.107	1200000	69.0	
1615070947.12	6.107	1300000	69.0	
1615070947.32	6.107	1400000	70.0	
1615070947.52	6.107	1300000	70.0	
1615070947.72	6.107	1200000	69.0	
1615070947.92	6.031	1300000	69.0	
1615070948.12	6.031	1400000	70.0	
